id_transacao,conta_origem,conta_destino,valor,aprovacao_IA,flag_controle_manual,descricao,data_hora
TX00003656,ACC001846,ACC001894,6054.78,SIM,SIM,TED - aluguéis,2025-03-22 02:03:43.401614
TX00004888,ACC002489,ACC002132,4024.58,NAO,NAO,Compra Cripto,2025-03-22 02:07:35.234574
TX00003509,ACC000681,ACC001138,3337.78,NAO,NAO,PIX - Serviços,2025-03-22 02:25:39.575702
TX00004598,ACC001359,ACC000968,2774.66,SIM,NAO,Reembolso,2025-03-22 02:37:35.304400
TX00004511,ACC001712,ACC002298,5695.84,SIM,NAO,Pagamento Sem Comprovante,2025-03-22 02:38:43.834675
TX00000261,ACC001416,ACC000990,1935.61,SIM,NAO,Tarifa Bancária,2025-03-22 03:47:20.425808
TX00000386,ACC000560,ACC001546,8322.31,SIM,NAO,Pagamento Manual,2025-03-22 05:52:14.552864
TX00001951,ACC002335,ACC000092,4921.21,SIM,NAO,Compra Cripto,2025-03-22 06:18:04.722621
TX00005416,ACC001367,ACC001134,3099.66,SIM,NAO,Folha PGTO,2025-03-22 06:57:18.325376
TX00002492,ACC001318,ACC000076,4560.42,SIM,NAO,Reembolso,2025-03-22 07:50:16.250175
TX00003127,ACC001591,ACC001242,1980.99,SIM,SIM,Pagamento Cartório,2025-03-22 07:51:04.400257
TX00001005,ACC001880,ACC001453,3162.75,NAO,NAO,PIX - Serviços,2025-03-22 08:43:28.572216
TX00001756,ACC002162,ACC001765,10294.83,SIM,NAO,TED,2025-03-22 08:57:05.726555
TX00001178,ACC001640,ACC001427,3540.97,SIM,NAO,Pagamento Sem Comprovante,2025-03-22 10:34:40.756698
TX00000945,ACC002117,ACC002087,4081.8,SIM,NAO,Compra Cripto,2025-03-22 14:27:36.070559
TX00002496,ACC001728,ACC002170,3888.41,SIM,SIM,Compra Cartão Crédito,2025-03-22 15:37:00.856955
TX00003071,ACC000277,ACC001441,247796.9,SIM,SIM,DOC,2025-03-22 15:45:37.195000
TX00002792,ACC000881,ACC001181,7286.98,SIM,NAO,Tarifa Bancária,2025-03-22 15:54:50.463537
TX00000640,ACC001470,ACC000728,5866.92,SIM,NAO,Estorno,2025-03-22 17:12:22.958904
TX00001100,ACC000905,ACC002259,4024.56,SIM,NAO,PIX - Serviços,2025-03-22 17:54:27.412917
TX00004109,ACC001995,ACC001511,5035.73,SIM,NAO,Compra Cartão Crédito,2025-03-22 20:03:15.815352
TX00002764,ACC001186,ACC001245,15079.87,SIM,NAO,Transferência Internacional,2025-03-22 20:56:13.901687
TX00001186,ACC001459,ACC000121,4520.03,SIM,NAO,PIX - Fornecedor,2025-03-22 21:27:36.763761
TX00000866,ACC002366,ACC000046,3095.63,SIM,NAO,Pagamento Boleto,2025-03-22 21:30:02.800887
TX00005122,ACC001945,ACC001051,4395.39,SIM,NAO,Tarifa Bancária,2025-03-23 00:40:55.185302
TX00003754,ACC000043,ACC000533,2779.25,SIM,NAO,TED,2025-03-23 00:44:16.982169
TX00003096,ACC000802,ACC001725,5820.55,SIM,NAO,Transferência Internacional,2025-03-23 01:38:53.803779
TX00004285,ACC000226,ACC001502,3476.56,SIM,NAO,Estorno,2025-03-23 02:06:08.431718
